Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-27,4,24,"[-0.38170111179351807, -0.2353859841823578, -0.9050622582435608, -0.4705921411514282, -0.8187060356140137]",1.5760901990532876,524.0368599936688
2024-11-27,5,1,"[-0.4776100218296051, -0.3014632761478424, -0.8124293684959412, -0.3459985852241516, -0.7433074712753296]",1.531942178606987,501.47267376712693
2024-11-27,5,2,"[-0.35329946875572205, -0.2787057161331177, -0.800068199634552, -0.4250315725803375, -0.7998409867286682]",1.1857086992263792,498.06718869053515
2024-11-27,5,3,"[-0.2572682201862335, -0.31606248021125793, -0.8234207630157471, -0.4370326101779938, -0.8002132773399353]",0.9335858434438704,494.0432669184791
2024-11-27,5,4,"[-0.2704063355922699, -0.2640548646450043, -0.8365454077720642, -0.43172430992126465, -0.8153208494186401]",0.8,491.65517266584
2024-11-27,5,5,"[-0.26898181438446045, -0.23135103285312653, -0.8219707608222961, -0.4065280258655548, -0.78228360414505]",0.8,518.0133501673154
2024-11-27,5,6,"[-0.22720177471637726, -0.20911426842212677, -0.8749462962150574, -0.437384694814682, -0.756538450717926]",0.8,568.8824013107115
2024-11-27,5,7,"[-0.18087983131408691, -0.230778768658638, -0.9170218110084534, -0.49990344047546387, -0.8135933876037598]",0.8,698.1028038601982
2024-11-27,5,8,"[-0.17534588277339935, -0.2671915292739868, -0.9628455638885498, -0.4555332362651825, -0.8453592658042908]",0.8,701.8784895609143
2024-11-27,5,9,"[-0.07724629342556, -0.1502974033355713, -0.9769883155822754, -0.4789588153362274, -0.8010518550872803]",0.8,838.4189065920103
2024-11-27,5,10,"[0.30371421575546265, -0.07445961982011795, -0.9918779134750366, -0.3999997079372406, -0.9256036281585693]",1.0976399314403533,858.6558305464787
2024-11-27,5,11,"[0.14189068973064423, -0.3164513111114502, -0.9908604621887207, -0.5841379165649414, -0.9199351668357849]",1.2366928073763845,999.6213488720185
2024-11-27,5,12,"[0.14410369098186493, -0.24801988899707794, -0.9966616034507751, -0.752619206905365, -0.9499029517173767]",1.3779144245386121,906.5980591625319
2024-11-27,5,13,"[0.29423364996910095, -0.06709415465593338, -0.9959169030189514, -0.7003766894340515, -0.9474491477012634]",1.666263401508331,913.9176680167229
2024-11-27,5,14,"[0.39221063256263733, 0.004132858011871576, -0.9974993467330933, -0.6727375388145447, -0.9503369927406311]",2.0506298214197156,941.5000240609174
2024-11-27,5,15,"[0.5549218654632568, 0.28181517124176025, -0.9990437030792236, -0.6727380752563477, -0.9668853878974915]",2.594453249573707,850.356431363035
