Date,Episode,Total_Reward,Total_Loss
2024-11-27,292,-12715.571311988591,12358.048778343707
2024-11-27,293,-9883.147080801453,9526.301077903077
2024-11-27,294,-7208.75480113035,6836.761405174506
2024-11-27,295,-12121.616039566581,11758.638960031165
2024-11-27,296,-13150.19686314609,12794.72774192233
2024-11-27,297,-13617.239017665233,13264.188621440477
2024-11-27,298,-13033.702689514987,12680.192017732219
2024-11-27,299,-13524.863100643954,13166.532255936843
2024-11-27,300,-9971.715409765431,9618.787505983611
2024-11-27,301,-6971.5606186692885,6613.701490934278
2024-11-27,302,-12634.314966254775,12271.636558233111
2024-11-27,303,-13557.180921577698,13207.06129851143
2024-11-27,304,-13822.726559625262,13471.047212599695
2024-11-27,305,-13942.967742321087,13594.776079985146
2024-11-27,306,-14142.3220320133,13778.993242622151
2024-11-27,307,-10041.844338408118,9689.586947146878
2024-11-27,308,-8268.81005831974,7925.195301763587
2024-11-27,309,-12823.554487651081,12466.662406192376
2024-11-27,310,-13614.298792285977,13258.930317483637
2024-11-27,311,-14104.37625447279,13744.973599778521
2024-11-27,312,-14507.052780913837,14149.192438198774
2024-11-27,313,-14180.778007522285,13820.417651027701
2024-11-27,314,-10804.685624210355,10446.218145162175
2024-11-27,315,-8690.5029245367,8319.413620740002
2024-11-27,316,-12690.472556992843,12335.396863205098
2024-11-27,317,-13497.47687869551,13142.830035191768
2024-11-27,318,-13740.01255696556,13381.98410046914
2024-11-27,319,-14196.648963387122,13840.56841747257
2024-11-27,320,-13447.42316844672,13091.317939312536
2024-11-27,321,-10891.845580646992,10525.185136144137
2024-11-27,322,-8519.458394189396,8162.4541069018305
2024-11-27,323,-11770.012934535962,11413.555755688094
2024-11-27,324,-13724.827086039328,13363.457188547369
2024-11-27,325,-13210.823910811507,12855.320214679563
2024-11-27,326,-7313.439276376436,6976.616297381589
2024-11-27,327,-9069.378759406814,8712.304316534177
2024-11-27,328,-9286.18519141199,8932.042713411483
2024-11-27,329,-7624.472634786502,7286.1748663177095
2024-11-27,330,-12888.914371136558,12527.434982946048
2024-11-27,331,-13654.636323318504,13301.499588690294
2024-11-27,332,-14407.96546998447,14052.334385858472
2024-11-27,333,-13605.94729349134,13254.158005547117
2024-11-27,334,-13665.25403879307,13308.88755152366
2024-11-27,335,-10641.321046406727,10281.991006676031
2024-11-27,336,-7867.733010876624,7507.494481270955
2024-11-27,337,-13002.149148853176,12636.786002668427
2024-11-27,338,-15339.91783230697,14981.226197590207
2024-11-27,339,-15828.599266141615,15472.998039639486
2024-11-27,340,-15716.455016423213,15355.503854485283
2024-11-27,341,-15337.657584287297,14980.145126455427
2024-11-27,342,-11103.606575469796,10751.20794928558
2024-11-27,343,-8809.038307723147,8471.719710242414
2024-11-27,344,-14574.375656604885,14213.131377873204
2024-11-27,345,-15128.852375670553,14772.935841935763
2024-11-27,346,-16997.08892174031,16634.293551887375
2024-11-27,347,-16278.778806621822,15914.826275540741
2024-11-27,348,-16425.835574213328,16067.600959639956
2024-11-27,349,-11720.333958921463,11356.074755980702
2024-11-27,350,-10571.381698090569,10189.19919553296
2024-11-27,351,-14569.360473818077,14202.04269610159
2024-11-27,352,-15721.774579663084,15365.354807110702
2024-11-27,353,-16277.760447024333,15917.06080417148
2024-11-27,354,-16768.7062501048,16406.68232672214
2024-11-27,355,-16005.612315400114,15643.834051867134
2024-11-27,356,-12897.30615003956,12531.11022625299
2024-11-27,357,-10782.337756656656,10412.098031411986
2024-11-27,358,-11853.493090573473,11478.74777597559
2024-11-27,359,-15730.417182422898,15372.5858448713
2024-11-27,360,-19120.132169614124,18758.90330725503
2024-11-27,361,-18716.38639537765,18360.72566604284
2024-11-27,362,-18855.178607900347,18499.95917353262
2024-11-27,363,-16019.042408297193,15666.10914171565
2024-11-27,364,-15202.610211603094,14828.223714654005
2024-11-27,365,-5064.327839842678,4724.034133709373
2024-11-27,366,-5210.170734998994,4867.443140278903
2024-11-27,367,-5067.133666009035,4727.410674358067
2024-11-27,368,-5369.107391106566,5016.705487631824
2024-11-27,369,-5818.451612673241,5477.448668344864
2024-11-27,370,-5447.240544677799,5108.082901362436
2024-11-27,371,-5518.363104102699,5171.804781100357
2024-11-27,372,-5357.5340351748055,5012.748037892079
2024-11-27,373,-5140.250445332306,4798.620566255767
2024-11-27,374,-5247.925556662402,4901.399693985888
2024-11-27,375,-5120.434295496362,4775.7486514448065
2024-11-27,376,-5482.769011927971,5140.54052630273
2024-11-27,377,-5289.417178189269,4941.608721296396
2024-11-27,378,-5683.161244609363,5322.667278529896
2024-11-27,379,-5035.921403808385,4678.55813311575
2024-11-27,380,-4954.845648526361,4616.3425515255385
2024-11-27,381,-5475.583669588256,5111.43697981508
2024-11-27,382,-4874.331049217069,4521.507599544423
2024-11-27,383,-4990.22600112105,4620.827742619884
2024-11-27,384,-4680.223469091992,4336.362699615967
2024-11-27,385,-4811.650460184064,4445.90014632986
2024-11-27,386,-5048.948181836785,4695.855076660826
2024-11-27,387,-5161.198514099075,4820.769503002453
2024-11-27,388,-5790.2420127874575,5430.473788266658
2024-11-27,389,-5188.307341078683,4848.087940914509
2024-11-27,390,-5115.815744826776,4777.270392096394
2024-11-27,391,-5311.646355649721,4973.684175159033
2024-11-27,392,-4973.08201199449,4621.7478031451965
2024-11-27,393,-4992.694607391279,4648.081108370829
2024-11-27,394,-4832.515093707175,4482.854377156935
2024-11-27,395,-4753.117841933286,4385.742745612652
2024-11-27,396,-4437.84348028691,4082.490705530473
2024-11-27,397,-5064.46627685686,4694.4628172941375
2024-11-27,398,-4973.784780178417,4634.060885725412
